Cart.cid  Cart.cartid  Customer.cid  Customer.gender  
164	160	164	1	
156	330	156	1	
184	491	184	0	
187	183	187	1	
179	143	179	0	
179	485	179	0	
184	398	184	0	
179	172	179	0	
184	156	184	0	
175	135	175	0	
183	153	183	1	
183	104	183	1	
186	173	186	1	
159	84	159	1	
186	286	186	1	
189	149	189	0	
163	94	163	0	
163	249	163	0	
163	475	163	0	
182	30	182	0	
185	129	185	1	
178	368	178	1	
151	358	151	1	
151	42	151	1	
151	309	151	1	
185	444	185	1	
176	251	176	1	
196	133	196	0	
199	432	199	0	
166	6	166	1	
166	151	166	1	
199	486	199	0	
167	225	167	0	
168	324	168	1	
165	496	165	1	
165	472	165	1	
165	124	165	1	
165	492	165	1	
197	110	197	1	
197	184	197	1	
181	115	181	0	
181	236	181	0	
181	375	181	0	
181	17	181	0	
194	388	194	0	
193	361	193	1	
192	338	192	0	
193	25	193	1	
192	337	192	0	
193	50	193	1	
170	20	170	0	
191	164	191	1	
162	244	162	0	
160	97	160	1	
170	47	170	0	
162	399	162	0	
198	419	198	1	
198	230	198	1	
198	467	198	1	
198	463	198	1	
155	58	155	1	
157	242	157	0	
198	80	198	1	
154	130	154	1	
177	272	177	1	
