Cart.cid  Cart.cartid  Customer.cid  Customer.gender  
151	300	151	1	
151	470	151	1	
152	75	152	1	
152	111	152	1	
152	161	152	1	
153	46	153	0	
153	154	153	0	
153	155	153	0	
155	21	155	0	
156	50	156	1	
156	350	156	1	
157	277	157	0	
157	292	157	0	
158	69	158	1	
158	85	158	1	
158	95	158	1	
158	410	158	1	
158	482	158	1	
159	12	159	1	
159	91	159	1	
159	232	159	1	
160	27	160	0	
160	145	160	0	
160	415	160	0	
161	60	161	1	
161	106	161	1	
162	64	162	0	
162	88	162	0	
162	114	162	0	
162	142	162	0	
163	52	163	0	
163	472	163	0	
165	226	165	0	
165	439	165	0	
166	67	166	1	
166	302	166	1	
167	201	167	1	
167	328	167	1	
168	80	168	1	
168	279	168	1	
168	283	168	1	
169	68	169	1	
169	79	169	1	
170	193	170	0	
171	47	171	0	
171	400	171	0	
172	18	172	0	
172	59	172	0	
172	378	172	0	
174	153	174	1	
174	457	174	1	
175	271	175	1	
176	278	176	0	
176	421	176	0	
177	233	177	1	
177	334	177	1	
178	24	178	0	
178	285	178	0	
178	478	178	0	
179	326	179	0	
179	461	179	0	
180	312	180	1	
182	152	182	0	
182	325	182	0	
183	174	183	0	
185	4	185	1	
185	37	185	1	
185	459	185	1	
186	41	186	0	
186	205	186	0	
186	347	186	0	
187	132	187	0	
187	158	187	0	
187	228	187	0	
187	463	187	0	
188	72	188	1	
188	103	188	1	
188	374	188	1	
189	197	189	0	
189	391	189	0	
190	413	190	1	
191	211	191	1	
191	227	191	1	
191	363	191	1	
192	151	192	1	
192	156	192	1	
192	254	192	1	
193	66	193	1	
193	395	193	1	
193	445	193	1	
194	13	194	0	
194	25	194	0	
194	42	194	0	
194	82	194	0	
194	140	194	0	
195	417	195	1	
196	26	196	1	
196	416	196	1	
197	203	197	0	
198	43	198	0	
198	83	198	0	
198	257	198	0	
198	259	198	0	
198	358	198	0	
199	15	199	1	
199	30	199	1	
199	477	199	1	
