Cart.cid  Cart.cartid  Customer.cid  Customer.gender  
166	6	166	1	
175	8	175	0	
161	10	161	1	
197	13	197	1	
173	16	173	0	
181	17	181	0	
193	25	193	1	
182	30	182	0	
193	50	193	1	
155	58	155	1	
154	67	154	1	
168	86	168	1	
160	97	160	1	
183	104	183	1	
154	130	154	1	
166	151	166	1	
184	156	184	0	
179	172	179	0	
186	173	186	1	
187	183	187	1	
168	198	168	1	
166	199	166	1	
169	205	169	0	
178	215	178	1	
162	223	162	0	
167	225	167	0	
198	230	198	1	
181	236	181	0	
157	242	157	0	
162	244	162	0	
176	251	176	1	
194	258	194	0	
177	272	177	1	
186	286	186	1	
164	306	164	1	
151	315	151	1	
156	330	156	1	
157	333	157	0	
192	337	192	0	
192	338	192	0	
154	347	154	1	
151	358	151	1	
181	375	181	0	
195	385	195	0	
194	388	194	0	
184	398	184	0	
162	399	162	0	
182	407	182	0	
198	419	198	1	
166	425	166	1	
199	432	199	0	
191	448	191	1	
172	450	172	0	
193	458	193	1	
189	474	189	0	
165	479	165	1	
179	485	179	0	
199	486	199	0	
184	491	184	0	
