Cart.cid  Cart.cartid  Customer.cid  Customer.gender  
199	432	199	0	
183	153	183	1	
199	486	199	0	
187	183	187	1	
151	358	151	1	
179	143	179	0	
179	485	179	0	
151	42	151	1	
179	172	179	0	
151	315	151	1	
198	419	198	1	
198	230	198	1	
198	467	198	1	
194	235	194	0	
198	463	198	1	
158	78	158	1	
158	64	158	1	
168	324	168	1	
168	198	168	1	
160	97	160	1	
182	407	182	0	
166	6	166	1	
182	30	182	0	
166	151	166	1	
164	394	164	1	
156	330	156	1	
164	306	164	1	
166	425	166	1	
164	160	164	1	
166	199	166	1	
181	115	181	0	
152	100	152	1	
152	495	152	1	
181	236	181	0	
181	375	181	0	
181	372	181	0	
181	17	181	0	
186	173	186	1	
159	84	159	1	
186	286	186	1	
165	496	165	1	
165	479	165	1	
192	338	192	0	
192	337	192	0	
192	424	192	0	
165	472	165	1	
177	272	177	1	
165	124	165	1	
165	492	165	1	
169	205	169	0	
170	20	170	0	
162	244	162	0	
170	284	170	0	
170	47	170	0	
162	399	162	0	
162	223	162	0	
161	141	161	1	
161	10	161	1	
176	251	176	1	
163	94	163	0	
190	128	190	1	
154	67	154	1	
197	39	197	1	
154	130	154	1	
155	58	155	1	
155	489	155	1	
197	13	197	1	
154	347	154	1	
197	110	197	1	
197	184	197	1	
189	149	189	0	
175	8	175	0	
184	491	184	0	
175	343	175	0	
175	135	175	0	
189	474	189	0	
195	289	195	0	
175	420	175	0	
195	385	195	0	
184	398	184	0	
191	291	191	1	
157	131	157	0	
191	118	191	1	
157	333	157	0	
193	361	193	1	
167	225	167	0	
191	164	191	1	
191	448	191	1	
193	25	193	1	
193	458	193	1	
185	129	185	1	
178	368	178	1	
178	215	178	1	
172	421	172	0	
172	450	172	0	
178	422	178	1	
185	444	185	1	
