7072	pjpo	qhcy	1809	160	795	
6234	jhjw	igfg	4092	91	1210	
810	nzhp	lbxg	719	389	1090	
3680	hlia	jzjb	3966	689	911	
6525	hwbn	csse	1637	728	1303	
6859	vedp	gjcx	319	448	912	
4754	yshv	nwnq	2822	1417	1232	
7823	cqdz	gqrz	4908	1338	252	
2408	swqx	hymu	1869	1328	67	
5188	ymwo	frei	4855	865	624	
5934	izkb	lvzo	4199	681	958	
1120	fzqt	ojhy	530	1228	841	
3877	csgk	wyhc	4316	785	565	
1487	sytw	roco	960	973	579	
6527	hrhb	ksyu	4413	1226	756	
5836	czue	uwdh	2209	12	222	
403	kyah	zykh	342	1189	1075	
2165	gopb	yamq	2502	79	1372	
6199	gxsh	ttvu	4811	318	178	
3595	lhyr	lkrw	4655	161	571	
9141	fydl	smrg	4573	1117	346	
5953	dlvo	hotx	1851	91	939	
8888	rqtm	qqhq	757	278	958	
7609	rypj	yajv	1935	1356	219	
7917	ssgl	lmff	143	1222	1347	
7931	isut	guso	3212	120	990	
5011	pgid	kgpo	1167	491	383	
4894	sgdl	vgru	2620	1320	813	
9275	wuzz	zhkg	733	1215	130	
5325	tmpt	jsyn	4612	580	892	
2553	atba	jqqv	1299	1305	1335	
3652	tkyd	chab	2409	855	742	
4625	yvfw	bjjm	2923	751	766	
257	jqpc	lhdw	1782	537	1113	
4364	jrkq	tzje	2685	668	234	
3108	fqnj	iimk	531	1265	1204	
9121	xdrq	ipfo	4454	1179	12	
4928	kdzt	fpaq	2910	396	1311	
3293	uczf	qtrf	1057	1123	477	
2920	whlf	quag	1332	568	1031	
2044	efeq	pswx	3720	30	564	
8147	hlbj	vqzq	3623	751	1130	
8782	egtf	izzy	146	701	755	
5882	gqwi	kmnc	2425	401	1089	
2324	bhza	trpp	4838	1421	1361	
501	zfzf	pbmg	3702	742	1290	
4721	ctpd	qary	676	1005	700	
706	gayz	kjav	2212	752	1142	
2826	jnqu	oeev	3114	1186	435	
5118	hlzx	gbdm	3308	312	402	
6839	bwzg	ynxi	2611	1340	1070	
10	ezfd	ulif	1745	1427	816	
9840	spko	wwei	4664	29	310	
1656	xlmu	ngxw	455	879	497	
8433	xjgk	vukz	2745	387	668	
4428	znbp	dpsp	4620	929	0	
3783	dfog	ulfq	2091	1259	555	
7437	ofjr	gcqc	1201	17	1357	
5473	tqqd	nwei	3627	907	435	
8978	gebx	momc	2216	934	1088	
1265	yqzz	cddh	4239	534	1026	
1526	ecmc	uyhf	846	845	405	
8057	ikmr	qxaj	267	48	433	
100	trra	fbay	3873	42	1142	
2830	ozie	bqmi	777	368	670	
1420	wkoo	cfov	2706	186	376	
5545	eywl	grkt	3678	2	1437	
125	oscd	ijid	3706	670	1125	
930	zoat	laak	1850	741	338	
9706	qlht	vblr	4399	643	860	
6196	dhtm	ourc	3574	601	1211	
8582	jgsc	ivha	1143	187	44	
8845	mtde	hrjq	2030	292	129	
2168	wlap	vncu	474	1063	957	
3835	dnbp	acvr	2992	857	328	
824	fifs	fyll	2763	967	843	
4240	tude	rzuq	50	315	1222	
9504	onpm	hcii	2046	1120	884	
687	weoi	dhxg	4390	1026	133	
9676	uzqr	ltjr	2329	911	625	
2606	spyo	drmm	392	627	1256	
8395	lkci	ryqp	174	375	984	
5331	pnwh	qmwi	53	1135	509	
6045	cnat	nhgl	1790	596	992	
7831	bbfl	qzau	3156	1362	771	
6852	ylkn	oinz	4406	679	1320	
1046	luwa	ihal	1167	498	152	
9668	gkpt	spjt	1012	601	1118	
1598	rjha	ctfu	1714	624	1289	
4371	camo	ebxs	4753	493	1233	
204	rgvu	xjvl	2769	67	1342	
7642	mmip	qwan	4375	1298	237	
6195	ojif	illm	2749	915	1196	
8803	ukpo	qvvl	1579	74	370	
9637	kvtu	qdoo	94	617	889	
1289	sgrc	zpbs	1236	10	1359	
8600	krcx	jacx	968	251	1310	
9708	mezf	oglm	4432	1307	1271	
2835	terl	fixw	345	341	914	
5963	nsdd	fjyh	2780	16	82	
4143	aczz	fyho	4903	430	447	
4632	olkn	psqb	179	622	1398	
328	qtlr	raii	4669	1321	852	
776	mxjq	hvqp	1948	491	965	
1434	lfqa	soys	3854	907	500	
4368	tjyz	fxje	3839	1372	199	
3764	xwns	jhzf	3215	1159	1065	
8586	liwn	qasc	3871	1190	1161	
6553	zfjh	thhs	3144	930	265	
7471	sclw	kqfr	2408	1223	1244	
2810	mgys	kjsd	4194	70	27	
2763	tebf	apji	4921	756	845	
4734	jdpa	corl	4289	756	841	
7069	rpry	oawr	1761	1049	844	
1803	nett	qjhu	577	726	632	
6933	ofqw	zcvp	461	1094	80	
9355	xtej	mkzf	4883	911	431	
3141	ukyh	xrlr	1847	382	1110	
1704	sgfh	yuqr	2176	829	1173	
1328	eezd	yosy	2158	1211	1434	
49	nred	qdby	2579	1153	1343	
3323	mmhr	mclw	1960	604	719	
3892	dsha	bdja	2655	1094	515	
5435	vrta	qekh	561	845	1265	
7784	kvko	ltsq	3006	198	1059	
3624	dniy	atfj	2917	314	1324	
